,subjnum,LT0,LT1,SL0,SL1,lambda0,beta_LA
0,502,0.5199287224925151,0.013572302540491289,-0.5079532864834904,-0.2434593825259062,0.05353611353122778,-1.7257214989499943
1,508,-0.10729507672965578,0.23943019533287319,-0.6094290094830098,-0.017919501755838375,0.11518356795386733,-1.1643576418381363
2,510,0.17789005700540872,-0.2568386999298503,-0.5059708898466951,-0.15314899730482573,0.0900696360257913,-0.8421276666754436
3,511,0.009754593832452123,-0.031887632192015666,-0.3948042748130086,-0.15414301255308033,0.08169667126961463,-1.854282276857699
4,514,0.16712331893559157,-0.013316927473687092,-0.3653290486295504,-0.08513898082745042,0.08323414975320576,-1.5670501724614987
5,515,0.3205284121360584,-0.13768651719185532,-0.6504416747265207,-0.4717292453209481,0.0688067235126873,-1.8819663809191762
6,516,-0.19275785013861796,0.17865325045754,-0.5584114749758787,-0.20345346975034204,0.06686464934910241,-1.6061791968688746
7,517,0.504567038194664,0.1741065781690837,-0.6871495341088405,-0.016468509070799955,0.04645888670557305,-1.3045940170229335
8,521,0.37701377842778866,-0.13242562349002063,-0.741256835971269,-0.23962862742373822,0.04569973146994554,-0.931291667110743
9,522,-0.07082520279294352,0.18072073668506722,-0.426250876696051,0.09949423371007453,0.07750021673119363,-1.4634255233991946
10,526,-1.378512553411398,0.07926264564973214,0.31542328326646984,0.09118712205624502,0.05355787493776796,-1.3092829658072835
11,527,0.3349027295070216,0.029457305157441098,-0.9753824647691725,-0.31835634408208885,0.057774028603902974,-1.5767105365954661
12,528,0.08502379745672584,0.10479302398288862,-0.5648772220635818,-0.03244905907877654,0.058040315453119135,-1.742660055603566
13,529,0.13667996569300886,-0.1063146194712884,-0.49078794251569424,-0.27868880400391494,0.045448297660739254,-0.7195415794373408
14,532,0.034213260699610365,-0.08696711275685125,-0.38461219746202396,-0.5327126121680463,0.06579637846449873,-0.9797431001940802
15,534,-0.7191294438637206,-0.057403403649696844,-0.037880615518315494,-0.023874270206863425,0.0445412610558244,-1.260801553897563
16,537,-0.23699429676148004,0.35837967934055104,0.06393270491725012,0.49012400710040904,0.09210093644236689,-1.1730762634178
17,538,0.19607930103104249,0.1687285329930118,-0.6979715811238487,-0.3417463495725102,0.04625370410659339,-1.1123328863231654
18,540,-0.6348185634262824,0.2994246683866206,0.19357894600685135,0.14107065242286754,0.037567570147914786,-0.8474906104233959
19,542,0.06703162602404422,-0.04201100243389682,-0.4049198023066901,-0.2502884601461095,0.09597908516384436,-0.816478336086131
20,543,0.031244253035503163,-0.022700004433124137,-0.5017659683942703,-0.09897697741680217,0.04228264376906075,-0.995672566962194
21,544,0.4991180924315135,0.10029996771978023,-0.5914532930125964,-0.0818453996297406,0.03341899959427473,-1.37190750579911
22,550,0.14267727420995568,-0.04110546362863987,-0.6861388534027708,-0.25412740502020703,0.11328166516167187,-1.8813118945128529
23,552,-0.3600648399944869,0.17949864712260427,-0.4729516538237161,-0.1429381626204584,0.08150213938922114,-0.7695595838745473
24,553,0.3311541032050186,0.13868446680789545,-0.8021482938519342,-0.1627727188569243,0.06530458199645274,-1.1930364209413882
25,554,0.25092942264520124,0.11904318584855467,-0.2640714956887634,0.1472174955684754,0.06838202935028581,-1.5220182236797275
