parameter,n_total,sig_positive,sig_negative,total_significant,pct_significant
LT0,145,39,44,83,57.24137931034483
LT1,145,29,11,40,27.586206896551722
SL0,145,64,66,130,89.65517241379311
SL1,145,5,58,63,43.44827586206896
lambda0,145,145,0,145,100.0
beta_LA,145,0,121,121,83.44827586206897
