,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
LT0[138],0.014,0.11,-0.159,0.19,0.0,0.0,49894.217,48532.411,
LT0[139],-0.368,0.111,-0.549,-0.194,0.0,0.0,50024.08,48900.769,
LT0[140],-0.223,0.116,-0.404,-0.036,0.001,0.0,49905.184,49262.357,
LT0[141],0.349,0.093,0.205,0.5,0.0,0.0,50103.402,49426.353,
LT0[142],-0.382,0.187,-0.673,-0.077,0.001,0.001,50531.031,50257.892,
LT0[143],0.525,0.16,0.267,0.777,0.001,0.001,50005.035,48517.276,
LT0[144],-0.006,0.167,-0.271,0.261,0.001,0.001,49994.781,50252.98,
LT1[0],0.071,0.152,-0.176,0.308,0.001,0.0,50906.51,50334.426,
LT1[1],0.325,0.117,0.134,0.507,0.001,0.0,48873.293,48499.349,
LT1[2],-0.237,0.128,-0.441,-0.032,0.001,0.0,50313.074,48732.506,
LT1[3],-0.149,0.131,-0.361,0.058,0.001,0.0,47106.229,49549.751,
LT1[4],-0.06,0.124,-0.26,0.138,0.001,0.0,50127.305,49753.717,
LT1[5],-0.055,0.138,-0.277,0.164,0.001,0.0,48288.61,49030.961,
LT1[6],0.033,0.112,-0.147,0.211,0.001,0.0,50004.438,49624.666,
LT1[7],0.348,0.158,0.101,0.608,0.001,0.0,50048.506,49578.785,
LT1[8],-0.189,0.086,-0.327,-0.051,0.0,0.0,50316.502,49418.159,
LT1[9],0.196,0.115,0.009,0.376,0.001,0.0,49216.912,49161.246,
LT1[10],0.295,0.115,0.107,0.474,0.001,0.0,50082.692,49338.733,
LT1[11],-0.075,0.195,-0.386,0.239,0.001,0.001,49324.064,49711.152,
LT1[12],-0.072,0.112,-0.251,0.105,0.001,0.0,49142.287,48160.202,
LT1[13],-0.17,0.12,-0.36,0.023,0.001,0.0,49831.259,49457.828,
LT1[14],-0.162,0.172,-0.437,0.114,0.001,0.001,49384.783,49748.159,
LT1[15],0.175,0.135,-0.037,0.395,0.001,0.0,49585.291,48092.565,
LT1[16],0.571,0.198,0.25,0.886,0.001,0.001,50366.994,50175.019,
LT1[17],0.217,0.169,-0.057,0.484,0.001,0.001,49263.405,49098.056,
LT1[18],0.026,0.216,-0.326,0.363,0.001,0.001,49759.998,49554.108,
LT1[19],-0.245,0.164,-0.508,0.013,0.001,0.001,48651.462,47889.369,
LT1[20],-0.055,0.122,-0.247,0.143,0.001,0.0,49424.126,49092.093,
LT1[21],0.266,0.137,0.049,0.486,0.001,0.0,48649.896,47343.494,
LT1[22],-0.097,0.138,-0.314,0.126,0.001,0.0,50161.946,49463.8,
LT1[23],0.309,0.181,0.012,0.589,0.001,0.001,50561.892,49916.35,
LT1[24],0.322,0.152,0.076,0.561,0.001,0.0,49931.029,48793.182,
LT1[25],0.063,0.206,-0.267,0.389,0.001,0.001,49518.017,49918.186,
LT1[26],0.186,0.099,0.027,0.342,0.0,0.0,50343.305,48827.415,
LT1[27],0.36,0.134,0.146,0.576,0.001,0.0,50115.425,49573.725,
LT1[28],-0.206,0.131,-0.411,0.007,0.001,0.0,49385.836,49341.773,
LT1[29],0.109,0.168,-0.156,0.381,0.001,0.001,50180.854,50256.937,
LT1[30],-0.198,0.16,-0.449,0.064,0.001,0.001,49393.672,48967.519,
LT1[31],0.596,0.173,0.317,0.87,0.001,0.001,48882.672,48635.749,
LT1[32],0.273,0.145,0.045,0.508,0.001,0.0,50349.82,50167.008,
LT1[33],-0.116,0.181,-0.409,0.165,0.001,0.001,49743.5,49378.85,
LT1[34],0.087,0.161,-0.173,0.342,0.001,0.001,49083.124,48158.246,
LT1[35],0.015,0.128,-0.192,0.215,0.001,0.0,50345.28,48739.168,
LT1[36],0.006,0.142,-0.217,0.238,0.001,0.0,48968.418,47245.834,
LT1[37],0.023,0.13,-0.183,0.23,0.001,0.0,50652.15,50000.761,
LT1[38],0.062,0.124,-0.136,0.262,0.001,0.0,50559.4,50214.015,
LT1[39],0.112,0.121,-0.084,0.303,0.001,0.0,49542.719,49636.723,
LT1[40],0.051,0.106,-0.115,0.225,0.0,0.0,49377.373,49857.286,
LT1[41],0.194,0.119,0.002,0.382,0.001,0.0,50620.336,49625.641,
LT1[42],-0.137,0.105,-0.31,0.026,0.0,0.0,50390.709,50258.083,
LT1[43],-0.128,0.132,-0.334,0.087,0.001,0.0,49202.42,48681.185,
LT1[44],-0.0,0.154,-0.245,0.244,0.001,0.0,49797.906,48817.338,
LT1[45],0.271,0.163,0.014,0.535,0.001,0.001,50365.652,49176.011,
LT1[46],0.467,0.186,0.174,0.77,0.001,0.001,49358.256,49162.927,
LT1[47],-0.288,0.134,-0.505,-0.076,0.001,0.0,49995.055,50599.815,
LT1[48],0.133,0.096,-0.025,0.281,0.0,0.0,49317.687,48814.083,
LT1[49],-0.463,0.155,-0.715,-0.22,0.001,0.0,48194.163,49662.25,
LT1[50],0.019,0.102,-0.145,0.18,0.0,0.0,49710.686,49022.682,
LT1[51],-0.053,0.152,-0.289,0.192,0.001,0.0,50234.046,49298.79,
LT1[52],0.078,0.116,-0.107,0.262,0.001,0.0,49605.388,50153.755,
LT1[53],-0.005,0.186,-0.295,0.299,0.001,0.001,49562.372,47621.449,
LT1[54],-0.025,0.148,-0.263,0.21,0.001,0.0,50077.54,48666.609,
LT1[55],-0.024,0.171,-0.296,0.252,0.001,0.001,49833.501,50533.881,
LT1[56],-0.056,0.179,-0.344,0.226,0.001,0.001,49951.981,49503.66,
LT1[57],0.547,0.17,0.276,0.82,0.001,0.001,50062.191,49580.95,
LT1[58],0.086,0.1,-0.068,0.251,0.0,0.0,49244.69,47893.789,
LT1[59],0.177,0.121,-0.02,0.367,0.001,0.0,49243.85,49196.575,
LT1[60],-0.153,0.11,-0.321,0.029,0.0,0.0,49345.96,49795.677,
LT1[61],0.126,0.109,-0.048,0.301,0.0,0.0,49868.581,48421.981,
LT1[62],0.156,0.109,-0.021,0.327,0.0,0.0,50140.701,49303.225,
LT1[63],0.405,0.136,0.183,0.616,0.001,0.0,49871.932,49916.721,
LT1[64],0.386,0.178,0.102,0.671,0.001,0.001,50206.405,49634.733,
LT1[65],0.157,0.182,-0.127,0.455,0.001,0.001,49413.237,49345.885,
LT1[66],0.098,0.138,-0.129,0.313,0.001,0.0,50569.5,50042.721,
LT1[67],-0.118,0.132,-0.332,0.088,0.001,0.0,50376.208,49066.493,
LT1[68],-0.172,0.133,-0.381,0.043,0.001,0.0,49817.877,49209.847,
LT1[69],0.205,0.174,-0.072,0.483,0.001,0.001,51177.351,49831.57,
LT1[70],0.135,0.124,-0.063,0.334,0.001,0.0,48872.945,49796.404,
LT1[71],-0.421,0.174,-0.693,-0.139,0.001,0.001,49723.302,49214.489,
LT1[72],0.295,0.09,0.152,0.438,0.0,0.0,49563.557,49282.183,
LT1[73],0.163,0.12,-0.028,0.357,0.001,0.0,49275.159,49833.708,
LT1[74],0.333,0.093,0.186,0.482,0.0,0.0,50256.485,49913.336,
LT1[75],-0.389,0.232,-0.762,-0.021,0.001,0.001,49601.693,49746.304,
LT1[76],0.167,0.195,-0.135,0.487,0.001,0.001,50461.53,50088.091,
LT1[77],0.597,0.309,0.108,1.094,0.001,0.001,50293.2,50130.458,
LT1[78],0.117,0.098,-0.042,0.271,0.0,0.0,47206.201,48941.423,
LT1[79],-0.329,0.14,-0.557,-0.109,0.001,0.0,50086.783,50443.8,
LT1[80],-0.041,0.126,-0.241,0.159,0.001,0.0,49756.447,49179.157,
LT1[81],-0.19,0.105,-0.356,-0.022,0.0,0.0,49563.275,48642.114,
LT1[82],0.032,0.191,-0.28,0.33,0.001,0.001,49502.086,48123.511,
LT1[83],0.164,0.118,-0.023,0.354,0.001,0.0,49444.708,49297.674,
LT1[84],-0.004,0.13,-0.211,0.204,0.001,0.0,50652.066,49051.21,
LT1[85],-0.029,0.135,-0.246,0.187,0.001,0.0,49877.025,48587.655,
LT1[86],-0.124,0.154,-0.371,0.12,0.001,0.0,50168.466,49544.898,
LT1[87],0.126,0.136,-0.093,0.343,0.001,0.0,50183.284,49343.436,
LT1[88],-0.086,0.115,-0.268,0.099,0.001,0.0,50182.039,49583.817,
LT1[89],0.097,0.283,-0.342,0.562,0.001,0.001,49770.81,49509.224,
LT1[90],0.104,0.095,-0.046,0.257,0.0,0.0,50443.724,49657.428,
LT1[91],0.137,0.093,-0.01,0.289,0.0,0.0,48902.733,49688.346,
LT1[92],0.373,0.13,0.161,0.575,0.001,0.0,50566.05,49875.51,
LT1[93],0.396,0.112,0.218,0.577,0.001,0.0,49883.042,49257.391,
LT1[94],0.368,0.121,0.174,0.562,0.001,0.0,49924.763,49499.416,
LT1[95],0.246,0.094,0.095,0.395,0.0,0.0,48862.576,47653.655,
LT1[96],0.133,0.078,0.012,0.261,0.0,0.0,49205.07,48641.943,
LT1[97],0.042,0.265,-0.39,0.453,0.001,0.001,49759.885,48858.413,
LT1[98],0.387,0.122,0.187,0.577,0.001,0.0,49240.15,49380.403,
LT1[99],-0.216,0.278,-0.67,0.217,0.001,0.001,49533.728,49761.136,
LT1[100],0.196,0.12,0.002,0.388,0.001,0.0,49739.562,49709.954,
LT1[101],-0.163,0.121,-0.355,0.03,0.001,0.0,49778.201,49369.748,
LT1[102],0.224,0.157,-0.023,0.48,0.001,0.001,49129.519,49457.693,
LT1[103],0.121,0.119,-0.065,0.315,0.001,0.0,48956.657,49381.856,
LT1[104],0.081,0.136,-0.13,0.303,0.001,0.0,50440.184,49918.917,
LT1[105],-0.208,0.157,-0.457,0.042,0.001,0.0,48754.953,48417.2,
