,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL1[101],-0.179,0.087,-0.315,-0.037,0.0,0.0,50853.992,50249.296,
SL1[102],0.231,0.169,-0.041,0.499,0.001,0.001,49776.511,49626.858,
SL1[103],-0.194,0.081,-0.325,-0.067,0.0,0.0,49612.824,48819.738,
SL1[104],0.064,0.175,-0.202,0.357,0.001,0.001,49595.404,48931.063,
SL1[105],-0.239,0.1,-0.399,-0.08,0.0,0.0,48377.029,48518.398,
SL1[106],-0.21,0.223,-0.564,0.15,0.001,0.001,50785.016,50088.564,
SL1[107],-0.029,0.092,-0.176,0.117,0.0,0.0,49985.741,48420.04,
SL1[108],-0.159,0.113,-0.34,0.021,0.001,0.0,49396.644,50426.583,
SL1[109],-0.311,0.109,-0.484,-0.136,0.0,0.0,50020.671,49460.409,
SL1[110],-0.271,0.092,-0.415,-0.119,0.0,0.0,49981.595,49961.566,
SL1[111],0.029,0.058,-0.063,0.12,0.0,0.0,48666.376,48677.006,
SL1[112],0.185,0.149,-0.051,0.425,0.001,0.0,49641.34,48409.088,
SL1[113],-0.011,0.097,-0.166,0.142,0.0,0.0,47791.76,48478.996,
SL1[114],-0.492,0.083,-0.624,-0.359,0.0,0.0,48721.994,49476.246,
SL1[115],-0.372,0.129,-0.58,-0.165,0.001,0.0,51005.581,49642.61,
SL1[116],-0.552,0.096,-0.707,-0.4,0.0,0.0,50246.739,50436.099,
SL1[117],-0.298,0.084,-0.429,-0.161,0.0,0.0,50222.878,50004.211,
SL1[118],-0.31,0.061,-0.409,-0.212,0.0,0.0,49900.251,49875.638,
SL1[119],0.087,0.079,-0.037,0.216,0.0,0.0,49970.765,48820.544,
SL1[120],-0.407,0.098,-0.565,-0.251,0.0,0.0,50060.013,49912.4,
SL1[121],-0.191,0.067,-0.296,-0.083,0.0,0.0,50462.784,49372.593,
SL1[122],-0.267,0.089,-0.407,-0.122,0.0,0.0,47799.362,48695.519,
SL1[123],-0.41,0.108,-0.586,-0.24,0.0,0.0,49499.009,49956.141,
SL1[124],-0.056,0.071,-0.173,0.055,0.0,0.0,50316.718,49710.077,
SL1[125],0.112,0.082,-0.018,0.245,0.0,0.0,50576.802,49884.417,
SL1[126],-0.391,0.096,-0.54,-0.235,0.0,0.0,49705.602,48820.544,
SL1[127],-0.263,0.102,-0.428,-0.105,0.0,0.0,50281.575,49252.784,
SL1[128],-0.104,0.063,-0.204,-0.001,0.0,0.0,50344.433,47893.894,
SL1[129],0.048,0.071,-0.064,0.162,0.0,0.0,49294.176,49114.686,
SL1[130],0.329,0.163,0.065,0.586,0.001,0.001,49499.363,49390.949,
SL1[131],0.086,0.103,-0.08,0.248,0.0,0.0,50430.311,49096.152,
SL1[132],0.008,0.235,-0.366,0.384,0.001,0.001,50486.35,49752.059,
SL1[133],0.013,0.168,-0.259,0.276,0.001,0.001,49146.31,49994.75,
SL1[134],-0.299,0.155,-0.547,-0.052,0.001,0.0,49657.83,48822.003,
SL1[135],-0.435,0.069,-0.545,-0.324,0.0,0.0,48184.339,49334.011,
SL1[136],-0.096,0.081,-0.225,0.034,0.0,0.0,49877.52,48506.251,
SL1[137],-0.37,0.095,-0.519,-0.216,0.0,0.0,49446.093,50087.225,
SL1[138],-0.229,0.084,-0.36,-0.093,0.0,0.0,50256.094,50004.127,
SL1[139],-0.33,0.075,-0.451,-0.212,0.0,0.0,49864.682,49460.396,
SL1[140],0.157,0.087,0.021,0.299,0.0,0.0,50680.665,48837.674,
