,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL1[45],-0.102,0.101,-0.266,0.057,0.0,0.0,50650.818,49421.427,
SL1[46],-0.066,0.208,-0.388,0.277,0.001,0.001,50141.173,50424.452,
SL1[47],-0.067,0.102,-0.231,0.094,0.0,0.0,48864.821,49059.665,
SL1[48],-0.08,0.069,-0.194,0.027,0.0,0.0,50315.821,49727.99,
SL1[49],-0.015,0.153,-0.263,0.227,0.001,0.0,49173.842,49501.524,
SL1[50],-0.177,0.084,-0.314,-0.045,0.0,0.0,48684.442,48500.288,
SL1[51],-0.07,0.165,-0.332,0.196,0.001,0.001,49080.612,49796.6,
SL1[52],-0.41,0.071,-0.522,-0.295,0.0,0.0,49623.125,48941.076,
SL1[53],-0.667,0.109,-0.84,-0.494,0.0,0.0,50188.546,49627.638,
SL1[54],0.394,0.191,0.086,0.695,0.001,0.001,48055.567,47907.158,
SL1[55],-0.014,0.21,-0.347,0.322,0.001,0.001,50000.017,49883.916,
SL1[56],-0.395,0.163,-0.655,-0.134,0.001,0.001,50369.13,50081.728,
SL1[57],0.034,0.123,-0.161,0.232,0.001,0.0,49622.389,49803.502,
SL1[58],-0.213,0.077,-0.337,-0.091,0.0,0.0,49145.902,48314.407,
SL1[59],0.018,0.11,-0.154,0.198,0.0,0.0,49788.86,47190.423,
SL1[60],-0.271,0.094,-0.425,-0.124,0.0,0.0,50618.494,49309.277,
SL1[61],-0.1,0.086,-0.238,0.038,0.0,0.0,49491.8,48747.818,
SL1[62],0.021,0.08,-0.109,0.148,0.0,0.0,48629.0,48530.458,
SL1[63],0.185,0.122,-0.009,0.38,0.001,0.0,49751.994,49627.968,
SL1[64],-0.109,0.178,-0.392,0.175,0.001,0.001,49748.083,48699.192,
SL1[65],-0.124,0.12,-0.313,0.069,0.001,0.0,50224.017,49399.046,
SL1[66],0.006,0.128,-0.2,0.207,0.001,0.0,49645.709,49304.025,
SL1[67],-0.036,0.105,-0.202,0.133,0.0,0.0,48855.905,48770.707,
SL1[68],-0.442,0.1,-0.608,-0.287,0.0,0.0,49243.205,49750.891,
SL1[69],0.247,0.19,-0.069,0.539,0.001,0.001,50288.977,49169.848,
SL1[70],-0.325,0.107,-0.496,-0.152,0.0,0.0,47850.389,47717.641,
SL1[71],-0.046,0.192,-0.35,0.267,0.001,0.001,49807.687,49052.293,
SL1[72],-0.298,0.067,-0.402,-0.186,0.0,0.0,50065.814,49256.677,
