,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL0[1],-0.605,0.091,-0.751,-0.461,0.001,0.0,28751.069,14984.166,1.0
SL0[2],-0.506,0.096,-0.654,-0.347,0.001,0.0,31569.283,14381.358,1.0
SL0[3],-0.398,0.096,-0.546,-0.239,0.001,0.0,31390.477,14949.152,1.0
SL0[4],-0.365,0.103,-0.527,-0.201,0.001,0.0,24715.819,15538.014,1.0
SL0[5],-0.658,0.108,-0.83,-0.49,0.001,0.001,23662.185,16682.256,1.0
SL0[6],-0.553,0.09,-0.699,-0.413,0.001,0.0,22274.183,14872.592,1.0
SL0[7],-0.688,0.114,-0.872,-0.506,0.001,0.001,26136.041,15650.583,1.001
SL0[8],-0.743,0.063,-0.843,-0.642,0.0,0.0,27304.12,14873.504,1.0
SL0[9],-0.43,0.089,-0.573,-0.29,0.001,0.0,26681.951,14801.248,1.0
SL0[10],0.325,0.124,0.133,0.528,0.001,0.001,14238.775,15407.116,1.0
SL0[11],-0.97,0.144,-1.196,-0.739,0.001,0.001,26562.967,14938.079,1.0
SL0[12],-0.56,0.088,-0.704,-0.422,0.001,0.0,23696.274,15616.993,1.0
SL0[13],-0.483,0.089,-0.623,-0.34,0.001,0.0,30633.425,14560.097,1.0
SL0[14],-0.382,0.143,-0.609,-0.15,0.001,0.001,22557.819,15595.416,1.0
SL0[15],-0.064,0.172,-0.331,0.216,0.002,0.001,8621.288,12594.287,1.0
SL0[16],0.243,0.475,-0.508,1.012,0.006,0.005,5552.028,9476.367,1.001
SL0[17],-0.689,0.131,-0.89,-0.473,0.001,0.001,23048.796,16434.623,1.0
SL0[18],0.186,0.153,-0.054,0.43,0.001,0.001,27543.255,14959.297,1.0
SL0[19],-0.41,0.133,-0.612,-0.187,0.001,0.001,30245.145,14933.629,1.0
SL0[20],-0.501,0.082,-0.63,-0.366,0.0,0.0,31201.01,13935.063,1.0
SL0[21],-0.592,0.097,-0.749,-0.438,0.001,0.0,28575.11,15200.222,1.0
SL0[22],-0.689,0.157,-0.935,-0.431,0.001,0.001,17234.106,15388.708,1.0
SL0[23],-0.486,0.172,-0.762,-0.216,0.001,0.001,20822.158,15825.567,1.0
SL0[24],-0.805,0.115,-0.984,-0.618,0.001,0.0,28115.45,15126.789,1.0
SL0[25],-0.255,0.167,-0.521,0.009,0.001,0.001,22360.5,15257.622,1.0
SL0[26],-0.43,0.078,-0.552,-0.305,0.0,0.0,28987.276,15493.318,1.0
SL0[27],-0.564,0.1,-0.723,-0.406,0.001,0.0,23756.292,15014.929,1.0
SL0[28],-0.33,0.108,-0.499,-0.157,0.001,0.0,27415.717,15750.972,1.0
SL0[29],-0.29,0.138,-0.512,-0.074,0.001,0.001,18236.759,14867.411,1.0
SL0[30],-0.151,0.136,-0.351,0.082,0.001,0.001,18343.581,15248.454,1.0
SL0[31],-0.279,0.227,-0.654,0.07,0.003,0.002,7592.641,9370.931,1.0
SL0[32],0.224,0.146,-0.005,0.461,0.001,0.001,15955.827,14727.638,1.0
SL0[33],-0.603,0.157,-0.848,-0.35,0.001,0.001,23084.701,14872.595,1.0
SL0[34],-0.199,0.181,-0.491,0.087,0.002,0.001,12240.705,14185.704,1.0
SL0[35],-0.737,0.104,-0.904,-0.574,0.001,0.0,23596.059,14209.039,1.0
SL0[36],-0.255,0.154,-0.487,0.005,0.001,0.001,19994.007,14823.817,1.0
SL0[37],-0.201,0.112,-0.381,-0.024,0.001,0.001,22824.306,15659.359,1.0
SL0[38],-0.48,0.101,-0.638,-0.318,0.001,0.0,26616.84,14675.98,1.0
SL0[39],-0.56,0.093,-0.71,-0.409,0.001,0.0,29474.625,15664.66,1.0
SL0[40],-0.426,0.072,-0.54,-0.31,0.0,0.0,34329.626,13034.143,1.0
SL0[41],-0.51,0.085,-0.642,-0.369,0.001,0.0,27213.191,13882.824,1.0
SL0[42],-0.938,0.081,-1.068,-0.808,0.001,0.0,23381.129,13916.318,1.0
SL0[43],-0.245,0.109,-0.425,-0.076,0.001,0.001,24486.951,15444.597,1.0
SL0[44],-0.521,0.12,-0.711,-0.331,0.001,0.001,18919.123,15109.622,1.0
SL0[45],-0.625,0.117,-0.82,-0.447,0.001,0.0,30795.778,15224.2,1.0
SL0[46],-0.636,0.168,-0.896,-0.361,0.001,0.001,28254.138,14820.471,1.0
SL0[47],-0.592,0.103,-0.756,-0.432,0.001,0.0,24244.755,14468.039,1.0
SL0[48],-0.426,0.067,-0.534,-0.32,0.0,0.0,27089.937,16034.92,1.0
SL0[49],-0.863,0.208,-1.212,-0.547,0.002,0.002,9426.085,13292.073,1.0
SL0[50],-0.56,0.082,-0.685,-0.423,0.0,0.0,28043.306,13913.328,1.0
SL0[51],-0.58,0.112,-0.755,-0.396,0.001,0.0,33598.716,14982.232,1.0
SL0[52],-0.416,0.088,-0.56,-0.28,0.001,0.0,28039.601,15551.695,1.0
SL0[53],-0.436,0.159,-0.682,-0.175,0.001,0.001,21432.108,15577.02,1.0
SL0[54],-0.349,0.204,-0.674,-0.025,0.001,0.001,19719.441,14457.762,1.001
SL0[55],-0.245,0.179,-0.521,0.05,0.001,0.001,19261.263,15155.348,1.0
SL0[56],-0.811,0.153,-1.057,-0.571,0.001,0.001,20513.117,15713.921,1.0
SL0[57],-0.28,0.121,-0.477,-0.092,0.001,0.001,30623.033,14324.394,1.0
SL0[58],-0.457,0.069,-0.567,-0.348,0.0,0.0,30410.322,14687.087,1.0
SL0[59],-0.515,0.17,-0.786,-0.247,0.002,0.001,8064.93,11529.528,1.0
SL0[60],-0.715,0.087,-0.859,-0.583,0.001,0.0,24708.261,15992.78,1.0
SL0[61],-0.581,0.077,-0.704,-0.458,0.0,0.0,30010.22,15146.827,1.0
SL0[62],-0.04,0.104,-0.207,0.123,0.001,0.001,14613.486,14543.047,1.0
SL0[63],-0.161,0.119,-0.351,0.027,0.001,0.001,22829.658,14858.774,1.0
SL0[64],-0.766,0.14,-0.996,-0.55,0.001,0.001,22742.83,15558.876,1.0
SL0[65],-0.365,0.127,-0.564,-0.161,0.001,0.001,26386.942,13577.54,1.0
SL0[66],0.071,1.032,-1.667,1.665,0.042,0.03,603.101,1446.769,1.004
SL0[67],0.04,0.758,-1.169,1.268,0.029,0.02,695.737,1462.023,1.007
SL0[68],-0.341,0.104,-0.505,-0.174,0.001,0.0,25940.441,16134.437,1.0
SL0[69],-0.382,0.133,-0.593,-0.17,0.001,0.001,23874.479,14801.788,1.0
SL0[70],-0.106,0.105,-0.269,0.069,0.001,0.001,21686.333,15278.83,1.0
SL0[71],-0.621,0.139,-0.848,-0.408,0.001,0.001,30592.563,14653.298,1.0
SL0[72],-0.645,0.067,-0.752,-0.538,0.0,0.0,25628.327,14360.465,1.0
SL0[73],-0.415,0.088,-0.556,-0.275,0.001,0.0,27410.901,15175.819,1.0
SL0[74],-0.107,0.168,-0.379,0.159,0.003,0.002,3844.522,6906.048,1.0
SL0[75],0.256,0.183,-0.036,0.548,0.001,0.001,30612.48,14333.207,1.0
SL0[76],-0.316,0.165,-0.582,-0.058,0.001,0.001,25948.758,15211.867,1.0
SL0[77],0.636,0.711,-0.49,1.772,0.011,0.008,4019.915,7299.085,1.0
SL0[78],0.349,0.066,0.245,0.455,0.0,0.0,30919.932,14360.892,1.0
SL0[79],0.341,0.107,0.17,0.512,0.001,0.0,26509.88,15542.391,1.0
SL0[80],-0.884,0.098,-1.04,-0.727,0.001,0.0,23446.055,14284.238,1.0
SL0[81],0.227,0.077,0.104,0.348,0.0,0.0,30435.169,15233.792,1.0
SL0[82],0.882,0.24,0.507,1.272,0.002,0.001,17550.183,14863.677,1.0
SL0[83],-0.033,0.144,-0.257,0.201,0.002,0.001,9106.533,12813.78,1.0
SL0[84],0.425,0.131,0.221,0.639,0.001,0.001,13249.314,13375.509,1.0
SL0[85],-0.229,0.099,-0.387,-0.07,0.001,0.0,26100.152,15090.245,1.0
SL0[86],0.746,0.118,0.557,0.936,0.001,0.001,27819.957,14091.151,1.0
SL0[87],0.513,0.102,0.353,0.679,0.001,0.0,24556.259,15066.078,1.0
SL0[88],0.556,0.074,0.435,0.671,0.0,0.0,30077.921,14173.432,1.0
SL0[89],0.928,0.218,0.594,1.29,0.001,0.001,28394.925,13935.735,1.0
SL0[90],0.531,0.066,0.421,0.633,0.0,0.0,30646.269,15275.957,1.0
SL0[91],0.475,0.062,0.376,0.574,0.0,0.0,28727.238,14068.648,1.0
SL0[92],0.692,0.101,0.533,0.857,0.001,0.0,25394.171,16372.095,1.0
SL0[93],0.557,0.085,0.428,0.699,0.001,0.0,26729.986,14309.209,1.0
SL0[94],0.299,0.087,0.153,0.432,0.001,0.0,28297.816,14609.579,1.0
SL0[95],0.457,0.066,0.351,0.56,0.0,0.0,28490.803,14942.061,1.001
SL0[96],0.619,0.105,0.447,0.78,0.001,0.001,5846.327,9468.629,1.0
SL0[97],0.793,0.321,0.27,1.299,0.002,0.002,24312.583,15187.427,1.0
SL0[98],-0.449,0.179,-0.737,-0.164,0.002,0.002,6410.883,10522.9,1.0
SL0[99],0.52,0.254,0.1,0.906,0.002,0.001,18290.15,15811.326,1.0
SL0[100],0.82,0.132,0.607,1.028,0.001,0.001,9523.189,12240.257,1.0
SL0[101],0.617,0.086,0.48,0.753,0.001,0.0,26709.856,14127.585,1.0
SL0[102],0.684,0.134,0.476,0.904,0.001,0.001,20832.883,15987.563,1.0
